img,area,perimiter,compactness
ISIC_0001769,8854,556,2.7784347463099253
ISIC_0001852,5363,366,1.9876710383011313
ISIC_0001871,8348,469,2.0967824890654283
ISIC_0003462,6565,369,1.6504719121352294
ISIC_0003539,12802,558,1.9354444501197041
ISIC_0003582,42835,956,1.6978806124621744
ISIC_0003657,13763,597,2.06075180238463
ISIC_0003805,5599,384,2.095762751255449
ISIC_0004337,8429,400,1.510546381225724
ISIC_0006651,17100,588,1.60897270889954
ISIC_0006671,7049,378,1.6130440409095173
ISIC_0006815,3118,350,3.126440110448553
ISIC_0006914,27872,770,1.6927914351174074
ISIC_0007141,40010,908,1.6398090602513922
ISIC_0007156,15450,552,1.5694222582483133
ISIC_0007235,14574,536,1.56870380576812
ISIC_0007241,13970,534,1.624337399868021
ISIC_0007332,21275,666,1.6590864850309925
ISIC_0007344,20960,718,1.9572565096017713
ISIC_0007528,6746,384,1.7394271633974594
ISIC_0007796,11322,476,1.592505316463049
ISIC_0008025,25167,726,1.66660211358334
ISIC_0008524,6582,440,2.3406561062436144
ISIC_0009995,250025,2092,1.3929324644810093
ISIC_0010459,184680,1932,1.6083646315341205
ISIC_0012099,3739,281,1.6805340280127237
ISIC_0012109,5402,340,1.7029166439673364
ISIC_0012126,3166,258,1.673087433981194
ISIC_0012127,4407,318,1.8260023218997985
ISIC_0012143,45453,1080,2.042091012940694
ISIC_0012151,62815,1210,1.8548018162926367
ISIC_0012159,13459,592,2.0721479298520697
ISIC_0012160,4616,348,2.087770821945504
ISIC_0012191,9053,440,1.7017782493422589
ISIC_0012201,14740,584,1.841273686266942
ISIC_0012204,7049,406,1.8608642502124884
ISIC_0012206,25621,784,1.9090890422132631
ISIC_0012210,32200,1016,2.5510659151594335
ISIC_0012221,8070,394,1.5307668367914167
ISIC_0012222,7991,394,1.5459001843207023
ISIC_0012254,152103,1700,1.511994456176333
ISIC_0012256,21402,692,1.78052454604143
ISIC_0012288,7353,414,1.854924563183632
ISIC_0012306,6512,372,1.6910701508621655
ISIC_0012313,6802,370,1.6016106813643394
ISIC_0012316,4575,312,1.6931998667035475
ISIC_0012335,7032,394,1.7567247401744501
ISIC_0012380,22296,698,1.7388976698543186
ISIC_0012383,23911,715,1.7013923671564173
ISIC_0012400,33208,890,1.8981364493960837
ISIC_0012417,117545,1721,2.0051539231878954
ISIC_0012434,9243,435,1.6291298337425022
ISIC_0012492,9399,440,1.6391316620167538
ISIC_0012513,35032,940,2.007154997088358
ISIC_0012538,5601,364,1.8824668219874812
ISIC_0012547,11570,498,1.7057503243976841
ISIC_0012660,14736,616,2.0491414931419056
ISIC_0012684,34780,881,1.775874925030888
ISIC_0012720,39686,991,1.9692466570910607
ISIC_0012746,5227,355,1.9186437443233317
ISIC_0012876,2829,238,1.5933496989214069
ISIC_0012927,53130,1238,2.295575650293006
ISIC_0012956,4960,314,1.581858948496826
ISIC_0012959,10071,446,1.571763710657703
ISIC_0012965,2213,212,1.6161454501405659
ISIC_0013010,5011,328,1.708493853282625
ISIC_0013082,6369,366,1.6737132639988956
ISIC_0013104,21361,768,2.1973082991019637
ISIC_0013127,75994,1490,2.3247880698365453
ISIC_0013128,11679,530,1.9139748058272712
ISIC_0013132,7211,404,1.801181056142476
ISIC_0013188,3875,276,1.564359605802351
ISIC_0013215,67620,1313,2.0288242242472028
ISIC_0013232,19078,712,2.114546689138741
ISIC_0013421,36712,1011,2.215564523698398
ISIC_0013491,16250,595,1.733687037787946
ISIC_0013501,16214,596,1.7433817153487943
ISIC_0013518,92915,1750,2.6228919615720256
ISIC_0013527,1416,182,1.8615283668700355
ISIC_0013549,18135,642,1.8086004401579252
ISIC_0013561,17682,618,1.718840981942909
ISIC_0013562,13717,540,1.6916811768461282
ISIC_0013632,27157,762,1.7014464553641875
ISIC_0013637,15924,590,1.7395703243622447
ISIC_0013644,21982,715,1.8506957006221953
ISIC_0013651,83198,1386,1.8373999919454709
ISIC_0013663,45331,1266,2.813599302576535
ISIC_0013702,35417,890,1.7797474436441583
ISIC_0013736,27524,787,1.7907215148213218
ISIC_0013793,20932,728,2.0148474431400505
ISIC_0013828,76692,1326,1.824429645333577
ISIC_0013863,2254,218,1.6778348525952163
ISIC_0013898,11890,514,1.7682127563122951
ISIC_0013945,5415,445,2.9101253560270153
ISIC_0014037,73522,1298,1.823569031997209
ISIC_0014038,21551,774,2.2120993616936637
ISIC_0014055,80252,1369,1.8584084340580276
ISIC_0014139,16253,590,1.7043572168303933
ISIC_0014162,6295,381,1.8350350035077536
ISIC_0014178,11628,536,1.9661411476835726
ISIC_0014211,26921,787,1.8308316546169185
ISIC_0014212,125680,1541,1.5035893515929548
ISIC_0014217,86025,1597,2.3592571883525584
ISIC_0014302,11716,559,2.1224349510199105
ISIC_0014310,11877,498,1.6616596154989651
ISIC_0014382,54273,1178,2.034683618461608
ISIC_0014428,10641,476,1.6944220649370019
ISIC_0014558,41871,1159,2.5529580271718406
ISIC_0014568,26077,724,1.599593539328476
ISIC_0014572,15092,580,1.7737782552383246
ISIC_0014597,3403,268,1.679568708879267
ISIC_0014601,39550,921,1.7067224789280961
ISIC_0014608,43713,1059,2.041603696081736
ISIC_0014610,10155,512,2.0542350271729104
ISIC_0014611,56437,1078,1.6385652398958317
ISIC_0014616,9731,447,1.6339836617124919
ISIC_0014618,11371,582,2.370486278421386
ISIC_0014620,19236,640,1.6944755845924395
ISIC_0014623,104951,1688,2.160470992030726
ISIC_0014624,27216,840,2.0631196326727173
ISIC_0014633,5467,334,1.6238054537735025
ISIC_0014635,33503,925,2.0323097660359215
ISIC_0014637,15888,604,1.8272365848128427
ISIC_0014688,199583,2099,1.7566751863365506
ISIC_0014712,201076,1906,1.437724558978169
ISIC_0014809,40093,979,1.902334856607628
ISIC_0014829,22038,722,1.8823152136018597
ISIC_0014857,150607,1358,0.9744162504801306
ISIC_0014931,64556,1583,3.0889818234525572
ISIC_0014937,180337,1716,1.2993910237644195
ISIC_0014945,12868,533,1.7568452217917878
ISIC_0014946,75045,1275,1.7238074113116288
ISIC_0014979,127878,1325,1.0925116007667806
ISIC_0014985,139673,1905,2.0676052900491344
ISIC_0014989,60034,1209,1.93751671031003
ISIC_0015043,81188,1339,1.7573547797905116
ISIC_0015062,229039,1216,0.513745282533738
ISIC_0015124,98236,1569,1.9941845752109582
ISIC_0015144,24402,731,1.742607051584466
ISIC_0015211,115398,1687,1.962555825214901
ISIC_0015243,159916,1878,1.7550495957618881
ISIC_0015256,205019,1239,0.5958523244045028
ISIC_0015313,150485,1820,1.7516192095477758
ISIC_0015372,190994,929,0.3595852258211578
ISIC_0015401,55991,1162,1.9190406224230065
ISIC_0015443,81250,1266,1.5697633228935004
ISIC_0015445,99511,1912,2.9234442839411616
ISIC_0015483,72585,1268,1.7627136269324484
ISIC_0015496,72907,1256,1.7218693150549071
ISIC_0015627,26930,816,1.9675877049275357
