img,area,perimiter,compactness
ISIC_0001769,8513,523,2.55688314512998
ISIC_0001852,5131,354,1.9435452005948115
ISIC_0001871,8062,449,1.9899401936411059
ISIC_0003462,6376,365,1.662752297162622
ISIC_0003539,12476,550,1.9294794118827487
ISIC_0003582,42295,948,1.6908994441004694
ISIC_0003657,13401,594,2.095201608117752
ISIC_0003805,5368,377,2.106979592651639
ISIC_0004337,8195,394,1.5074177392198576
ISIC_0006651,16781,582,1.6062689632280305
ISIC_0006671,6837,370,1.5934117090303108
ISIC_0006815,2907,317,2.750829218500425
ISIC_0006914,27408,764,1.6947260592339268
ISIC_0007141,39496,900,1.6320070881156983
ISIC_0007156,15150,550,1.5889231117260176
ISIC_0007235,14285,532,1.5766422335891
ISIC_0007241,13652,528,1.625031191581122
ISIC_0007332,20890,659,1.6543314466465153
ISIC_0007344,20600,713,1.963821341375819
ISIC_0007528,6525,376,1.7241907459432793
ISIC_0007796,11052,472,1.6041067156073476
ISIC_0008025,24775,720,1.66510438948211
ISIC_0008524,6345,434,2.362315875572659
ISIC_0009995,249073,1578,0.795568321965928
ISIC_0010459,183694,1654,1.1851305004398283
ISIC_0012099,3509,270,1.6532338773723525
ISIC_0012109,5159,332,1.7002029896647677
ISIC_0012126,2978,252,1.6969401454176833
ISIC_0012127,4232,311,1.8187175390821373
ISIC_0012143,44784,1062,2.0040856961921176
ISIC_0012151,61964,1196,1.837016469867476
ISIC_0012159,13052,582,2.065185371738399
ISIC_0012160,4373,342,2.1284471488452374
ISIC_0012191,8813,434,1.7007709327707385
ISIC_0012201,14358,576,1.8388281933158053
ISIC_0012204,6829,400,1.8644597228513147
ISIC_0012206,25068,768,1.8723752424252849
ISIC_0012210,31530,990,2.4736403381599525
ISIC_0012221,7743,384,1.5154559788556452
ISIC_0012222,7691,388,1.5576532149802556
ISIC_0012254,151042,1679,1.4852302999454448
ISIC_0012256,21008,684,1.77221998893759
ISIC_0012288,7084,404,1.8334721338005922
ISIC_0012306,6275,366,1.6987856220572057
ISIC_0012313,6604,366,1.6141550239868212
ISIC_0012316,4345,304,1.6925734431278021
ISIC_0012335,6742,386,1.758636154028481
ISIC_0012380,21903,693,1.744829527118195
ISIC_0012383,23442,702,1.6728989116854023
ISIC_0012400,32714,884,1.900907642122947
