image_id,melanoma,pigment_network_percent,negative_network_percent,milia_like_cyst_percent,streaks_percent,pigment_network_hist,negative_network_hist,milia_like_cyst_hist,streaks_hist
ISIC_0000000,0.0,0.20180722891566266,0.0,0.0,0.0642570281124498,[0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 1]
ISIC_0000001,0.0,0.014242115971515769,0.0,0.0,0.017293997965412006,[0 0 0 0 1 0 1 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 2 0]
ISIC_0000002,1.0,0.0,0.0,0.06237424547283702,0.0,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[1 0 4 0 4 3 1 4 5],[0 0 0 0 0 0 0 0 0]
ISIC_0000003,0.0,0.1584258324924319,0.0,0.0030272452068617556,0.0,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0]
ISIC_0000004,1.0,0.0,0.0,0.0,0.0,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
ISIC_0000006,0.0,0.018036072144288578,0.0,0.0,0.0,[0 1 0 0 1 0 0 1 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
ISIC_0000007,0.0,0.017085427135678392,0.003015075376884422,0.0,0.0,[1 0 0 0 0 1 1 0 0],[0 0 0 1 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
ISIC_0000008,0.0,0.02854230377166157,0.0,0.0,0.03771661569826707,[0 0 1 2 0 0 0 1 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 1 1 0 1 1 0 2]
ISIC_0000009,0.0,0.028282828282828285,0.0,0.0,0.0,[0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
ISIC_0000010,0.0,0.0,0.0,0.0,0.0,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
